sr_number,sr_type,sr_type_desc,priority,dept_name,method_received,neighborhood,time_received,date_created,date_closed,planned_completion_days,days_to_close,latitude,longitude
SR25000204,GRAFPARK,PARK GRAFFITI,STANDARD,PARK DEPARTMENT,INTERNET,MT. WASHINGTON,9:28 AM,2025-01-02,2025-04-09,30,97.0,39.09670031,-84.38835379
SR25001045,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,INTERNET,CUF,3:27 PM,2025-01-04,2025-02-28,30,55.0,39.13161783,-84.52681745
SR25008791,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,INTERNET,SPRING GROVE VILLAGE,12:36 PM,2025-01-11,2025-01-29,30,18.0,39.16584687,-84.51238766
SR25010361,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,311 CALL,WEST END,5:45 PM,2025-01-14,2025-02-26,30,43.0,39.12218724,-84.53118902
SR25013065,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,EMAIL,MT. LOOKOUT,12:53 PM,2025-01-22,2025-08-05,102,195.0,39.13806824,-84.40574619
SR25013031,GRAFPARK,PARK GRAFFITI,STANDARD,PARK DEPARTMENT,311 CALL,MT. LOOKOUT,11:55 AM,2025-01-22,2025-02-07,42,16.0,39.13834746,-84.41911891
SR25014013,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,INTERNET,CORRYVILLE,3:38 PM,2025-01-24,2025-02-03,30,10.0,39.13258046,-84.5025601
SR25014244,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,INTERNET,MT. ADAMS,4:52 PM,2025-01-25,2025-04-25,30,90.0,39.10383202,-84.49984537
SR25014246,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,INTERNET,MT. ADAMS,5:10 PM,2025-01-25,2025-03-19,30,53.0,39.10429768,-84.49959777
SR25014210,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,311 CALL,MADISONVILLE,1:52 PM,2025-01-25,2025-02-26,30,32.0,39.15449774,-84.38651676
SR25014241,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,INTERNET,MT. ADAMS,4:43 PM,2025-01-25,2025-02-03,30,9.0,39.1081323,-84.4995552
SR25014337,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,INTERNET,EAST END,12:15 PM,2025-01-26,2025-03-22,30,55.0,39.12110497,-84.47913343
SR25014655,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,INTERNET,AVONDALE,11:43 AM,2025-01-27,2025-01-29,30,2.0,39.14640489,-84.50275286
SR25015270,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,INTERNET,MT. ADAMS,2:38 PM,2025-01-28,2025-04-25,30,87.0,39.10383202,-84.49984537
SR25015586,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,INTERNET,EAST END,11:38 AM,2025-01-29,2025-02-03,30,5.0,39.11662546,-84.43984046
SR25015607,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,INTERNET,EAST END,11:57 AM,2025-01-29,2025-01-30,30,1.0,39.11510821,-84.48660758
SR25016536,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,INTERNET,MT. AUBURN,3:32 PM,2025-01-31,2025-02-26,30,26.0,39.11147794,-84.50397215
SR25016774,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,INTERNET,HYDE PARK,1:55 PM,2025-02-01,2025-03-04,30,31.0,39.1372061,-84.43984404
SR25017042,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,INTERNET,CAMP WASHINGTON,5:54 PM,2025-02-02,2025-02-03,31,1.0,39.13250462,-84.53373327
SR25017421,GRFITI,"GRAFFITI, REMOVAL",STANDARD,PUBLIC SERVICES,INTERNET,CORRYVILLE,12:55 PM,2025-02-03,2025-02-28,30,25.0,39.14231639,-84.5074715
