episode,season,scene_id,location,speaker,normalized_speaker,line,conversation_turn
S01E01,1,S01E01_SCENE_1,The Streets - The Past,JACK MURDOCK,Jack Murdock,Move please. Matty. Get out of my way! Get out of my way!,1
S01E01,1,S01E01_SCENE_1,The Streets - The Past,MAN 1,Man 1,"Don't move. Help is coming, kid.",2
S01E01,1,S01E01_SCENE_1,The Streets - The Past,JACK MURDOCK,Jack Murdock,That's my boy. That's my boy. Matty! Matty!,3
S01E01,1,S01E01_SCENE_1,The Streets - The Past,MATT MURDOCK,Matt Murdock,Dad.,4
S01E01,1,S01E01_SCENE_1,The Streets - The Past,JACK MURDOCK,Jack Murdock,"Matty! Matty! Don't, don't move, okay? No, no, no! Just don't move. Somebody get us some help!",5
S01E01,1,S01E01_SCENE_1,The Streets - The Past,MATT MURDOCK,Matt Murdock,"Dad, what happened?",6
S01E01,1,S01E01_SCENE_1,The Streets - The Past,JACK MURDOCK,Jack Murdock,"Matty, it's gonna be all right. Just don't move. Don't move, okay?",7
S01E01,1,S01E01_SCENE_1,The Streets - The Past,MATT MURDOCK,Matt Murdock,What happened?,8
S01E01,1,S01E01_SCENE_1,The Streets - The Past,MAN 1,Man 1,Take it easy.,9
S01E01,1,S01E01_SCENE_1,The Streets - The Past,MAN 2,Man 2,Your boy — he pushed me out of the way. He saved my life.,10
S01E01,1,S01E01_SCENE_1,The Streets - The Past,MATT MURDOCK,Matt Murdock,"Oh, Dad! Oh, it burns!",11
S01E01,1,S01E01_SCENE_1,The Streets - The Past,JACK MURDOCK,Jack Murdock,"Oh, Jesus! Close your eyes, Matty.",12
S01E01,1,S01E01_SCENE_1,The Streets - The Past,MATT MURDOCK,Matt Murdock,Dad!,13
S01E01,1,S01E01_SCENE_1,The Streets - The Past,JACK MURDOCK,Jack Murdock,Close your eyes.,14
S01E01,1,S01E01_SCENE_1,The Streets - The Past,MATT MURDOCK,Matt Murdock,Dad! Dad!,15
S01E01,1,S01E01_SCENE_1,The Streets - The Past,JACK MURDOCK,Jack Murdock,Close your eyes.,16
S01E01,1,S01E01_SCENE_1,The Streets - The Past,MATT MURDOCK,Matt Murdock,Dad. Dad. Dad. I can't see. I can't see. I can't see! I can't see! I can't see! I can't see!,17
S01E01,1,S01E01_SCENE_2,Confessional Booth - Now,MATT MURDOCK,Matt Murdock,"Bless me, Father, for I have sinned. It's been, it's been too long since my last confession. My dad, he used to come to this church back when I was a kid. He was a fighter. Old school. Boxer. Lost more than he won. Had a 24-31 record before he, uh... But he could take a punch. Jesus, he could take a punch.",1
S01E01,1,S01E01_SCENE_2,Confessional Booth - Now,FATHER LANTOM,Father Lantom,Language.,2
S01E01,1,S01E01_SCENE_2,Confessional Booth - Now,MATT MURDOCK,Matt Murdock,"Sorry, Father. Yeah, guys he went up against used to say it was like hitting oak. And nights when he was outmatched, my dad's strategy was to let 'em hit him till they broke their hands. He never got knocked out, my dad. Knocked down, sure. But he always got back up. He was always on his feet when he lost. Every now and then, though, every now and then, he'd get hit and something inside of him would snap. My grandmother, she was the real Catholic. Fear of God ran deep. You'd have liked her. She used to say, ""Be careful of the Murdock boys. They got the devil in 'em."" And you'd see it sometimes in the ring. His eyes would go dead and he'd start walking forward real slow, hands at his sides, like he wasn't afraid of anything. And the other guy, he'd see that look, and he'd try to get away from him. Nah. My dad, he'd catch him and trap him in the corner. Let the devil out. Yeah. Now, I didn't understand it, you know? What he was feeling deep inside, I didn't understand it. Not back then.",3
S01E01,1,S01E01_SCENE_2,Confessional Booth - Now,FATHER LANTOM,Father Lantom,But you understand it now? Perhaps this would be easier if you tell me what you've done.,4
S01E01,1,S01E01_SCENE_2,Confessional Booth - Now,MATT MURDOCK,Matt Murdock,"I'm not seeking penance for what I've done, Father. I'm asking forgiveness for what I'm about to do.",5
S01E01,1,S01E01_SCENE_2,Confessional Booth - Now,FATHER LANTOM,Father Lantom,That's not how this works. What exactly are you going to do?,6
S01E01,1,S01E01_SCENE_3,The Docks,GIRLS,Girls,Help! Help! Help me! Help! Help me!,1
S01E01,1,S01E01_SCENE_3,The Docks,TURK BARRETT,Turk Barrett,"Hey! Hey! Man, shut up. I'm getting $1,000 a head for y'all. So, you be quiet, I let you have a bucket. You don't —",2
S01E01,1,S01E01_SCENE_3,The Docks,RUSSIAN MAN,Russian Man,No!,3
S01E01,1,S01E01_SCENE_3,The Docks,GIRL,Girl,"No. Please, no.",4
S01E01,1,S01E01_SCENE_3,The Docks,TURK BARRETT,Turk Barrett,"Scream all you want. Come on, let me hear you scream. Scream loud.",5
S01E01,1,S01E01_SCENE_3,The Docks,GIRL,Girl,It's okay.,6
S01E01,1,S01E01_SCENE_3,The Docks,TURK BARRETT,Turk Barrett,Nobody gives a shit down here.,7
S01E01,1,S01E01_SCENE_4,Matt's Apartment,AUTOMATED FEMALE VOICE,Automated Female Voice,"Foggy, Foggy, Foggy.",1
S01E01,1,S01E01_SCENE_4,Matt's Apartment,MATT MURDOCK,Matt Murdock,"Yeah, yeah.",2
S01E01,1,S01E01_SCENE_4,Matt's Apartment,AUTOMATED FEMALE VOICE,Automated Female Voice,Foggy.,3
S01E01,1,S01E01_SCENE_4,Matt's Apartment,MATT MURDOCK,Matt Murdock,Hello.,4
S01E01,1,S01E01_SCENE_4,Matt's Apartment,FOGGY NELSON,Foggy Nelson,"Good morning, sunshine!",5
S01E01,1,S01E01_SCENE_4,Matt's Apartment,MATT MURDOCK,Matt Murdock,What time is it?,6
S01E01,1,S01E01_SCENE_4,Matt's Apartment,FOGGY NELSON,Foggy Nelson,Half past get the hell up. Let's go. We gotta meet the real estate agent in 45.,7
S01E01,1,S01E01_SCENE_4,Matt's Apartment,FOGGY NELSON,Foggy Nelson,"What was that? Was that a moan? Do you have somebody in bed with you? The paralegal? Is it the para over at — never mind, I don't wanna hear about it. No, I do wanna hear about it! What was she like?",8
S01E01,1,S01E01_SCENE_4,Matt's Apartment,MATT MURDOCK,Matt Murdock,Violent.,9
S01E01,1,S01E01_SCENE_4,Matt's Apartment,FOGGY NELSON,Foggy Nelson,"I gotta get the blind thing going. It's so unfair. Oh, hey! Real estate agent, not your type. Very homely. Might be genetic. No need to be charming. And she kinda told me she thinks blind people are ""God's mistake.""",10
S01E01,1,S01E01_SCENE_4,Matt's Apartment,MATT MURDOCK,Matt Murdock,"That's a horrible thing to say, Foggy.",11
S01E01,1,S01E01_SCENE_4,Matt's Apartment,FOGGY NELSON,Foggy Nelson,"I know! In this day and age? All right, shake it. I gotta go bribe a cop.",12
S01E01,1,S01E01_SCENE_4,Matt's Apartment,MATT MURDOCK,Matt Murdock,"Ah, Foggy.",13
S01E01,1,S01E01_SCENE_4,Matt's Apartment,FOGGY NELSON,Foggy Nelson,"Kidding, NSA, if you're listening. But seriously, yeah, I gotta go bribe a cop.",14
S01E01,1,S01E01_SCENE_5,Street - Subway Station Entrance,SGT. BRETT MAHONEY,Sgt. Brett Mahoney,Defense attorney. We're supposed to be enemies.,1
S01E01,1,S01E01_SCENE_5,Street - Subway Station Entrance,FOGGY NELSON,Foggy Nelson,"First off, we've been enemies since we were four, Brett, so let's not blame it on career choices. Secondly, I'm not a particularly good defense attorney, so helping me is like helping yourself. And finally, these are for Bess.",2
S01E01,1,S01E01_SCENE_5,Street - Subway Station Entrance,SGT. BRETT MAHONEY,Sgt. Brett Mahoney,"Please stop giving my mom cigars, Foggy.",3
S01E01,1,S01E01_SCENE_5,Street - Subway Station Entrance,FOGGY NELSON,Foggy Nelson,"What? She'll outlive us all. Look, I'm not asking you to do anything immoral. Just give me a heads up if something, you know, interesting walks through the door. You're right. It ain't the careers.",4
